date,stock_code,price,amount,volume,per,eps
20240612,213420,41900,1040426400100,419000,29.05686546463246,1442.0
20240612,214150,53800,3443174122200,1438592,46.94589877835951,1146.0
20240612,214370,23900,1283788500000,335427,32.16689098250337,743.0
20240612,214450,134800,1403675500400,241592,18.11097675668413,7443.0
20240612,222800,33900,1079855447700,1962879,-9.40099833610649,-3606.0
20240612,225570,15260,1004165530200,407387,88.72093023255815,172.0
20240612,229640,33450,1024402202550,682961,247.7777777777778,135.0
20240612,232140,18620,1527684417000,5642594,112.8484848484848,165.0
20240612,237690,94300,1821689286000,1056230,90.58597502401537,1041.0
20240612,240810,35150,1725299120150,240345,-127.8181818181818,-275.0
20240612,241560,54400,5453554630400,158008,5.918189730200174,9192.0
20240612,247540,209500,20489381568000,543357,-2353.932584269663,-89.0
20240612,248070,22350,1117624064850,418104,9.285417532197757,2407.0
20240612,251270,57400,4933731014800,139424,-19.29411764705882,-2975.0
20240612,253450,41950,1260953991100,40556,41.9080919080919,1001.0
20240612,257720,50300,3037578470200,2679231,79.7147385103011,631.0
20240612,259960,265000,12690373795000,217577,21.68398658047623,12221.0
20240612,263750,40250,2585976163750,230681,169.831223628692,237.0
20240612,267250,69400,5482120099000,218637,20.72879330943847,3348.0
20240612,267260,263500,9498420072500,492922,36.65322019752399,7189.0
20240612,267270,56500,1064860924000,74705,7.983608873816589,7077.0
20240612,271560,100200,3961520426400,482885,10.51747664532382,9527.0
20240612,272210,18120,3423219328680,2393330,9.799891833423473,1849.0
20240612,277810,166600,3232016342800,253463,-3621.739130434783,-46.0
20240612,278470,368500,2808035593000,221735,32.77012005335705,11245.0
20240612,280360,177700,1676523799800,46315,23.76939539860888,7476.0
20240612,281740,21950,1442785528600,682689,59.80926430517711,367.0
20240612,282330,115900,2003204705400,14598,10.22857647162651,11331.0
20240612,293490,20300,1677705517600,118147,-7.317952415284787,-2774.0
20240612,294870,17180,1132287929400,132389,6.542269611576542,2626.0
20240612,298020,390000,1687795980000,10134,18.11005340143952,21535.0
20240612,298040,367000,3422109116000,281824,29.50635150345715,12438.0
20240612,298050,351500,1574701722000,10668,44.29183467741935,7936.0
20240612,298380,22500,1077582127500,491357,-409.0909090909091,-55.0
20240612,302440,51800,3979677450000,66285,178.0068728522337,291.0
20240612,307950,147300,4039552548600,36625,29.31926751592357,5024.0
20240612,316140,14180,10529947484180,788061,4.18412511065211,3389.0
20240612,317330,50300,1003974217800,2257688,-124.8138957816377,-403.0
20240612,323410,22500,10730838082500,493544,30.24193548387097,744.0
20240612,326030,79800,6249397350000,92282,-190.0,-420.0
20240612,328130,51500,1484777445000,176626,-35.27397260273973,-1460.0
20240612,329180,130000,11540505080000,200350,467.6258992805755,278.0
20240612,336260,23000,1506355698000,542017,-221.1538461538462,-104.0
20240612,336370,17410,1222483959040,596817,10.36309523809524,1680.0
20240612,348370,279000,5400851310000,205327,-98.86605244507442,-2822.0
20240612,352480,102600,1027430346600,162512,32.70640739560089,3137.0
20240612,352820,199100,8292932512700,200055,44.20515097690942,4504.0
20240612,353200,22950,1134118428750,427905,46.55172413793103,493.0
20240612,357780,315000,2450248290000,13711,18.79587087535056,16759.0
20240612,361610,47000,3350986824000,371288,40.79861111111111,1152.0
20240612,365340,84400,1024202186800,29653,40.81237911025145,2068.0
20240612,365550,4755,1013238195000,219131,6513.698630136986,0.73
20240612,373220,351500,82251000000000,163853,66.4838282579913,5287.0
20240612,375500,34800,1346538080400,72709,7.950651130911583,4377.0
20240612,377300,30100,4049306194500,303303,1584.210526315789,19.0
20240612,383220,69200,2650849590000,96443,6.236481614996396,11096.0
20240612,383310,69900,1069814746800,123885,31.88868613138686,2192.0
20240612,393890,33200,1118724397600,272000,20.86737900691389,1591.0
