stock_code,name,market_type,region
005740,크라운해태홀딩스,KOSPI,Korea
005750,대림B&Co,KOSPI,Korea
005800,신영와코루,KOSPI,Korea
005810,풍산홀딩스,KOSPI,Korea
005820,원림,KOSPI,Korea
005830,DB손해보험,KOSPI,Korea
005850,에스엘,KOSPI,Korea
005860,한일사료,KOSDAQ,Korea
005870,휴니드,KOSPI,Korea
005880,대한해운,KOSPI,Korea
005930,삼성전자,KOSPI,Korea
005935,삼성전자우,KOSPI,Korea
005940,NH투자증권,KOSPI,Korea
005950,이수화학,KOSPI,Korea
005960,동부건설,KOSPI,Korea
005990,매일홀딩스,KOSDAQ,Korea
006040,동원산업,KOSPI,Korea
006050,국영지앤엠,KOSDAQ,Korea
006060,화승인더,KOSPI,Korea
006090,사조오양,KOSPI,Korea
006110,삼아알미늄,KOSPI,Korea
006120,SK디스커버리,KOSPI,Korea
006140,피제이전자,KOSDAQ,Korea
006200,한국전자홀딩스,KOSPI,Korea
006220,제주은행,KOSPI,Korea
006260,LS,KOSPI,Korea
006280,녹십자,KOSPI,Korea
006340,대원전선,KOSPI,Korea
006360,GS건설,KOSPI,Korea
006370,대구백화점,KOSPI,Korea
006380,카프로,KOSPI,Korea
006390,한일현대시멘트,KOSPI,Korea
006400,삼성SDI,KOSPI,Korea
006490,인스코비,KOSPI,Korea
006570,대림통상,KOSPI,Korea
006580,대양제지,KOSDAQ,Korea
006620,동구바이오제약,KOSDAQ,Korea
006650,대한유화,KOSPI,Korea
006660,삼성공조,KOSPI,Korea
006730,서부T&D,KOSDAQ,Korea
006740,영풍제지,KOSPI,Korea
006800,미래에셋증권,KOSPI,Korea
006840,AK홀딩스,KOSPI,Korea
006880,신송홀딩스,KOSPI,Korea
006890,태경케미컬,KOSPI,Korea
006910,보성파워텍,KOSDAQ,Korea
006920,모헨즈,KOSDAQ,Korea
006980,우성,KOSPI,Korea
007070,GS리테일,KOSPI,Korea
007110,일신석재,KOSPI,Korea
007120,미래아이앤지,KOSPI,Korea
007160,사조산업,KOSPI,Korea
007210,벽산,KOSPI,Korea
007280,한국특강,KOSPI,Korea
007310,오뚜기,KOSPI,Korea
007330,푸른저축은행,KOSDAQ,Korea
007340,DN오토모티브,KOSPI,Korea
007370,진양제약,KOSDAQ,Korea
007390,네이처셀,KOSDAQ,Korea
007460,에이프로젠,KOSPI,Korea
007530,와이엠,KOSDAQ,Korea
007540,샘표,KOSPI,Korea
007570,일양약품,KOSPI,Korea
007590,동방아그로,KOSPI,Korea
007610,선도전기,KOSPI,Korea
007660,이수페타시스,KOSPI,Korea
007680,대원　　　　　　　,KOSDAQ,Korea
007690,국도화학,KOSPI,Korea
007700,F&F홀딩스,KOSPI,Korea
007720,대명소노시즌,KOSDAQ,Korea
007770,한일화학,KOSDAQ,Korea
007810,코리아써키트,KOSPI,Korea
007820,에스엠코어,KOSDAQ,Korea
007860,서연,KOSPI,Korea
007980,TP,KOSPI,Korea
008040,사조동아원,KOSPI,Korea
008060,대덕,KOSPI,Korea
008110,대동전자,KOSPI,Korea
008250,이건산업,KOSPI,Korea
008260,NI스틸,KOSPI,Korea
008290,원풍물산,KOSDAQ,Korea
008350,남선알미늄,KOSPI,Korea
008370,원풍,KOSDAQ,Korea
008420,문배철강,KOSPI,Korea
008470,부스타,KOSDAQ,Korea
008490,서흥,KOSPI,Korea
008500,일정실업,KOSPI,Korea
008600,윌비스,KOSPI,Korea
